,number,value,datetime_start,datetime_complete,duration,params_hidden,params_leave_layers,params_lr,params_weight_decay,state
0,0,0.8919270833333334,2023-02-07 12:42:52.871917,2023-02-07 13:04:36.891843,0 days 00:21:44.019926,1756,71,0.00375,0.0,COMPLETE
1,1,0.5533854166666666,2023-02-07 12:42:52.875188,2023-02-07 13:16:53.519812,0 days 00:34:00.644624,2791,61,0.115,4e-08,PRUNED
2,2,0.4108072916666667,2023-02-07 12:42:52.921125,2023-02-07 13:20:02.355883,0 days 00:37:09.434758,2373,101,0.075,4e-07,PRUNED
3,3,0.85546875,2023-02-07 12:42:52.934900,2023-02-07 13:16:39.917253,0 days 00:33:46.982353,1464,31,0.075,4e-07,COMPLETE
4,4,0.841796875,2023-02-07 12:42:52.949193,2023-02-07 13:02:28.981369,0 days 00:19:36.032176,1552,21,0.075,4e-07,COMPLETE
5,5,0.7600911458333334,2023-02-07 12:42:52.968878,2023-02-07 13:02:05.453725,0 days 00:19:12.484847,2214,1,0.15,4e-06,COMPLETE
6,6,0.8958333333333334,2023-02-07 12:42:52.995505,2023-02-07 13:21:54.156306,0 days 00:39:01.160801,1387,101,0.00375,4e-08,COMPLETE
7,7,0.8684895833333334,2023-02-07 12:42:53.015171,2023-02-07 13:28:20.649728,0 days 00:45:27.634557,1809,41,0.0125,4e-05,COMPLETE
8,8,0.18033854166666666,2023-02-07 13:02:05.510055,2023-02-07 13:18:09.141426,0 days 00:16:03.631371,1936,71,0.075,4e-05,PRUNED
9,9,0.5833333333333334,2023-02-07 13:02:29.037553,2023-02-07 13:13:05.965997,0 days 00:10:36.928444,2306,11,0.15,0.0,COMPLETE
10,10,,2023-02-07 13:04:36.918611,,,1789,51,0.0125,4e-06,RUNNING
11,11,0.09016927083333333,2023-02-07 13:13:05.995726,2023-02-07 13:17:20.674222,0 days 00:04:14.678496,2064,91,0.075,4e-08,PRUNED
12,12,0.10677083333333333,2023-02-07 13:16:39.947957,2023-02-07 13:18:27.936980,0 days 00:01:47.989023,2757,51,0.075,4e-07,PRUNED
13,13,0.7210286458333334,2023-02-07 13:16:53.542190,2023-02-07 13:24:29.786689,0 days 00:07:36.244499,2361,1,0.15,4e-08,PRUNED
14,14,0.7526041666666666,2023-02-07 13:17:20.691425,2023-02-07 13:25:14.495631,0 days 00:07:53.804206,2956,1,0.15,4e-08,PRUNED
15,15,0.103515625,2023-02-07 13:18:09.159425,2023-02-07 13:20:30.365686,0 days 00:02:21.206261,1724,71,0.15,4e-06,PRUNED
16,16,0.89453125,2023-02-07 13:18:27.952774,2023-02-07 13:59:44.291591,0 days 00:41:16.338817,2382,21,0.00375,4e-08,COMPLETE
17,17,0.8997395833333334,2023-02-07 13:20:02.410528,2023-02-07 13:35:09.825365,0 days 00:15:07.414837,1002,41,0.00375,0.0,COMPLETE
18,18,0.8922526041666666,2023-02-07 13:20:30.383112,2023-02-07 13:39:19.292455,0 days 00:18:48.909343,1033,31,0.00375,0.0,COMPLETE
19,19,0.8792317708333334,2023-02-07 13:21:54.188533,2023-02-07 13:43:04.134853,0 days 00:21:09.946320,1095,91,0.00375,0.0,COMPLETE
20,20,0.8795572916666666,2023-02-07 13:24:29.806457,2023-02-07 13:52:07.946294,0 days 00:27:38.139837,1004,91,0.00375,0.0,COMPLETE
21,21,0.884765625,2023-02-07 13:25:14.514406,2023-02-07 13:49:00.056050,0 days 00:23:45.541644,1015,91,0.00375,0.0,COMPLETE
22,22,0.9075520833333334,2023-02-07 13:28:20.680195,2023-02-07 14:12:02.343806,0 days 00:43:41.663611,1013,91,0.00375,0.0,COMPLETE
23,23,0.3639322916666667,2023-02-07 13:35:09.868631,2023-02-07 13:43:25.796728,0 days 00:08:15.928097,1024,91,0.00375,0.0,PRUNED
24,24,0.5651041666666666,2023-02-07 13:39:19.327868,2023-02-07 13:41:15.362537,0 days 00:01:56.034669,1057,91,0.00375,0.0,PRUNED
25,25,0.8990885416666666,2023-02-07 13:41:15.384015,2023-02-07 14:10:05.983819,0 days 00:28:50.599804,1291,51,0.00375,0.0,COMPLETE
26,26,0.9111328125,2023-02-07 13:43:04.162624,2023-02-07 14:09:08.854457,0 days 00:26:04.691833,1289,51,0.00375,4e-08,COMPLETE
27,27,0.10970052083333333,2023-02-07 13:43:25.813673,2023-02-07 13:44:42.415214,0 days 00:01:16.601541,1298,41,0.115,4e-08,PRUNED
28,28,0.8958333333333334,2023-02-07 13:44:42.431661,2023-02-07 14:06:19.587188,0 days 00:21:37.155527,1263,31,0.00375,0.0,COMPLETE
29,29,0.8919270833333334,2023-02-07 13:49:00.095881,2023-02-07 14:09:49.251230,0 days 00:20:49.155349,1228,31,0.00375,0.0,COMPLETE
30,30,0.8922526041666666,2023-02-07 13:52:07.976451,2023-02-07 14:13:20.246532,0 days 00:21:12.270081,1271,31,0.00375,0.0,COMPLETE
31,31,0.6328125,2023-02-07 13:59:44.329000,2023-02-07 14:01:10.657079,0 days 00:01:26.328079,1292,21,0.0125,4e-08,PRUNED
32,32,0.4153645833333333,2023-02-07 14:01:10.679947,2023-02-07 14:02:53.942526,0 days 00:01:43.262579,2542,51,0.00375,4e-08,PRUNED
33,33,0.8857421875,2023-02-07 14:02:53.962430,2023-02-07 14:19:35.355394,0 days 00:16:41.392964,1324,21,0.00375,4e-08,COMPLETE
34,34,0.8981119791666666,2023-02-07 14:06:19.629012,2023-02-07 14:27:41.213200,0 days 00:21:21.584188,1300,41,0.00375,4e-06,COMPLETE
35,35,0.12076822916666667,2023-02-07 14:09:08.893684,2023-02-07 14:10:47.943976,0 days 00:01:39.050292,1513,61,0.0125,4e-06,PRUNED
36,36,0.140625,2023-02-07 14:09:49.283971,2023-02-07 14:11:32.560351,0 days 00:01:43.276380,1479,61,0.0125,4e-05,PRUNED
37,37,0.1103515625,2023-02-07 14:10:06.016098,2023-02-07 14:11:52.800255,0 days 00:01:46.784157,1506,61,0.0125,4e-05,PRUNED
38,38,0.8876953125,2023-02-07 14:10:47.987214,2023-02-07 14:25:17.108641,0 days 00:14:29.121427,1433,41,0.00375,4e-05,COMPLETE
39,39,0.9036458333333334,2023-02-07 14:11:32.586856,2023-02-07 14:34:42.097487,0 days 00:23:09.510631,1651,51,0.00375,4e-08,COMPLETE
40,40,0.099609375,2023-02-07 14:11:52.829078,2023-02-07 14:13:36.370869,0 days 00:01:43.541791,1195,51,0.115,0.0,PRUNED
41,41,0.10970052083333333,2023-02-07 14:12:02.367782,2023-02-07 14:13:34.209804,0 days 00:01:31.842022,1182,51,0.115,0.0,PRUNED
42,42,0.9091796875,2023-02-07 14:13:20.287122,2023-02-07 14:48:38.968935,0 days 00:35:18.681813,1166,51,0.00375,0.0,COMPLETE
43,43,0.2776692708333333,2023-02-07 14:13:34.231310,2023-02-07 14:15:05.934104,0 days 00:01:31.702794,1637,41,0.00375,4e-07,PRUNED
44,44,0.6682942708333334,2023-02-07 14:13:36.384257,2023-02-07 14:15:27.199600,0 days 00:01:50.815343,1647,71,0.00375,4e-07,PRUNED
45,45,0.6956380208333334,2023-02-07 14:15:05.952316,2023-02-07 14:16:58.756022,0 days 00:01:52.803706,1415,81,0.00375,4e-06,PRUNED
46,46,0.89453125,2023-02-07 14:15:27.226479,2023-02-07 14:31:39.099238,0 days 00:16:11.872759,1392,41,0.00375,0.0,COMPLETE
47,47,0.87890625,2023-02-07 14:16:58.770919,2023-02-07 14:29:49.804862,0 days 00:12:51.033943,1398,41,0.00375,0.0,COMPLETE
48,48,0.19856770833333334,2023-02-07 14:19:35.393720,2023-02-07 14:30:10.117456,0 days 00:10:34.723736,1396,101,0.00375,4e-08,PRUNED
49,49,0.6305338541666666,2023-02-07 14:25:17.143218,2023-02-07 14:27:15.768470,0 days 00:01:58.625252,1141,101,0.00375,4e-08,PRUNED
50,50,0.681640625,2023-02-07 14:27:15.786498,2023-02-07 14:29:14.860815,0 days 00:01:59.074317,1373,101,0.00375,0.0,PRUNED
51,51,0.8958333333333334,2023-02-07 14:27:41.247479,2023-02-07 14:42:09.107891,0 days 00:14:27.860412,1134,41,0.00375,4e-06,COMPLETE
52,52,0.8440755208333334,2023-02-07 14:29:14.877175,2023-02-07 14:35:35.765582,0 days 00:06:20.888407,1150,41,0.00375,4e-06,PRUNED
53,53,0.10026041666666667,2023-02-07 14:29:49.837983,2023-02-07 14:31:25.147249,0 days 00:01:35.309266,1144,61,0.075,4e-06,PRUNED
54,54,0.1083984375,2023-02-07 14:30:10.178365,2023-02-07 14:31:58.739554,0 days 00:01:48.561189,1882,61,0.075,4e-06,PRUNED
55,55,0.10970052083333333,2023-02-07 14:31:25.162319,2023-02-07 14:32:52.725469,0 days 00:01:27.563150,1878,41,0.115,4e-06,PRUNED
56,56,0.13118489583333334,2023-02-07 14:31:39.157847,2023-02-07 14:33:19.466090,0 days 00:01:40.308243,1951,51,0.15,4e-06,PRUNED
57,57,0.08919270833333333,2023-02-07 14:31:58.766726,2023-02-07 14:33:36.329279,0 days 00:01:37.562553,2047,51,0.15,4e-06,PRUNED
58,58,0.7083333333333334,2023-02-07 14:32:52.741061,2023-02-07 14:34:43.076176,0 days 00:01:50.335115,1588,81,0.00375,4e-08,PRUNED
59,59,0.6018880208333334,2023-02-07 14:33:19.511823,2023-02-07 14:35:03.511348,0 days 00:01:43.999525,1573,81,0.00375,4e-08,PRUNED
60,60,0.7340494791666666,2023-02-07 14:33:36.346751,2023-02-07 14:35:31.912454,0 days 00:01:55.565703,1114,81,0.00375,4e-08,PRUNED
61,61,0.9065755208333334,2023-02-07 14:34:42.125170,2023-02-07 15:08:36.674046,0 days 00:33:54.548876,1120,51,0.00375,4e-07,COMPLETE
62,62,0.8736979166666666,2023-02-07 14:34:43.087571,2023-02-07 14:49:09.661368,0 days 00:14:26.573797,1085,51,0.00375,4e-07,COMPLETE
63,63,0.8557942708333334,2023-02-07 14:35:03.532892,2023-02-07 14:42:42.721402,0 days 00:07:39.188510,1094,51,0.00375,4e-07,PRUNED
64,64,0.7425130208333334,2023-02-07 14:35:31.946847,2023-02-07 14:37:08.696686,0 days 00:01:36.749839,1732,51,0.00375,4e-07,PRUNED
65,65,0.9108072916666666,2023-02-07 14:35:35.785642,2023-02-07 15:10:06.543404,0 days 00:34:30.757762,1731,51,0.00375,4e-07,COMPLETE
66,66,0.8873697916666666,2023-02-07 14:37:08.716574,2023-02-07 14:51:17.311193,0 days 00:14:08.594619,1219,31,0.00375,0.0,COMPLETE
67,67,0.8391927083333334,2023-02-07 14:42:09.136131,2023-02-07 14:48:31.500371,0 days 00:06:22.364240,1220,31,0.00375,0.0,PRUNED
68,68,0.8606770833333334,2023-02-07 14:42:42.735968,2023-02-07 14:49:16.863927,0 days 00:06:34.127959,1245,31,0.00375,4e-08,PRUNED
69,69,0.76953125,2023-02-07 14:48:31.538060,2023-02-07 14:56:09.818724,0 days 00:07:38.280664,1332,71,0.00375,0.0,PRUNED
70,70,0.7024739583333334,2023-02-07 14:48:39.009861,2023-02-07 14:51:34.074607,0 days 00:02:55.064746,1053,61,0.00375,0.0,PRUNED
71,71,0.7366536458333334,2023-02-07 14:49:09.736865,2023-02-07 14:50:46.220700,0 days 00:01:36.483835,1001,71,0.00375,0.0,PRUNED
72,72,0.7936197916666666,2023-02-07 14:49:16.876002,2023-02-07 14:54:10.891990,0 days 00:04:54.015988,1000,71,0.00375,0.0,PRUNED
73,73,0.10188802083333333,2023-02-07 14:50:46.236151,2023-02-07 14:52:22.955850,0 days 00:01:36.719699,1320,61,0.075,0.0,PRUNED
74,74,0.083984375,2023-02-07 14:51:17.343221,2023-02-07 14:52:56.235854,0 days 00:01:38.892633,1313,61,0.075,0.0,PRUNED
75,75,0.099609375,2023-02-07 14:51:34.099371,2023-02-07 14:52:59.994499,0 days 00:01:25.895128,1359,51,0.075,0.0,PRUNED
76,76,0.7021484375,2023-02-07 14:52:22.972771,2023-02-07 14:53:31.271366,0 days 00:01:08.298595,1341,11,0.0125,0.0,PRUNED
77,77,0.7672526041666666,2023-02-07 14:52:56.257944,2023-02-07 14:55:12.530512,0 days 00:02:16.272568,1661,11,0.00375,4e-08,PRUNED
78,78,0.8893229166666666,2023-02-07 14:53:00.012421,2023-02-07 15:11:25.455889,0 days 00:18:25.443468,1450,41,0.00375,4e-08,COMPLETE
79,79,0.8483072916666666,2023-02-07 14:53:31.286341,2023-02-07 15:00:17.136068,0 days 00:06:45.849727,1477,41,0.00375,4e-08,PRUNED
80,80,0.9078776041666666,2023-02-07 14:54:10.912469,2023-02-07 15:18:38.996594,0 days 00:24:28.084125,1461,41,0.00375,4e-08,COMPLETE
81,81,0.8017578125,2023-02-07 14:55:12.544799,2023-02-07 14:59:37.140740,0 days 00:04:24.595941,1177,41,0.00375,4e-08,PRUNED
82,82,0.7766927083333334,2023-02-07 14:56:09.834615,2023-02-07 15:01:40.560163,0 days 00:05:30.725548,2186,41,0.00375,4e-08,PRUNED
83,83,0.10026041666666667,2023-02-07 14:59:37.163738,2023-02-07 15:01:50.434132,0 days 00:02:13.270394,1466,101,0.115,4e-05,PRUNED
84,84,0.08919270833333333,2023-02-07 15:00:17.154849,2023-02-07 15:02:16.246800,0 days 00:01:59.091951,2143,101,0.115,4e-05,PRUNED
85,85,0.10970052083333333,2023-02-07 15:01:40.575521,2023-02-07 15:03:38.901512,0 days 00:01:58.325991,1267,101,0.115,4e-05,PRUNED
86,86,0.8958333333333334,2023-02-07 15:01:50.465184,2023-02-07 15:17:10.480172,0 days 00:15:20.014988,1270,51,0.00375,4e-08,COMPLETE
87,87,0.103515625,2023-02-07 15:02:16.497593,2023-02-07 15:03:48.352233,0 days 00:01:31.854640,1260,51,0.15,4e-08,PRUNED
88,88,0.8557942708333334,2023-02-07 15:03:38.919354,2023-02-07 15:09:48.745150,0 days 00:06:09.825796,1251,31,0.00375,0.0,PRUNED
89,89,,2023-02-07 15:03:48.376804,,,1191,31,0.00375,0.0,RUNNING
90,90,0.83203125,2023-02-07 15:08:36.712910,2023-02-07 15:13:42.875481,0 days 00:05:06.162571,1058,51,0.00375,4e-07,PRUNED
91,91,0.8961588541666666,2023-02-07 15:09:48.764298,2023-02-07 15:24:02.199873,0 days 00:14:13.435575,1068,51,0.00375,4e-07,COMPLETE
92,92,0.8447265625,2023-02-07 15:10:06.580771,2023-02-07 15:16:04.325414,0 days 00:05:57.744643,1090,51,0.00375,4e-07,PRUNED
93,93,0.8193359375,2023-02-07 15:11:25.493173,2023-02-07 15:17:33.080032,0 days 00:06:07.586859,1056,51,0.00375,4e-07,PRUNED
94,94,0.7998046875,2023-02-07 15:13:42.896724,2023-02-07 15:17:33.162758,0 days 00:03:50.266034,1173,51,0.00375,4e-07,PRUNED
95,95,0.9088541666666666,2023-02-07 15:16:04.345617,2023-02-07 15:42:55.602108,0 days 00:26:51.256491,1829,51,0.00375,4e-07,COMPLETE
96,96,0.12272135416666667,2023-02-07 15:17:10.511140,2023-02-07 15:18:39.334406,0 days 00:01:28.823266,1797,61,0.0125,4e-07,PRUNED
97,97,0.7141927083333334,2023-02-07 15:17:33.122187,2023-02-07 15:18:48.764640,0 days 00:01:15.642453,1782,61,0.00375,4e-07,PRUNED
98,98,0.755859375,2023-02-07 15:17:33.179790,2023-02-07 15:18:51.202301,0 days 00:01:18.022511,1798,61,0.00375,4e-07,PRUNED
99,99,0.7565104166666666,2023-02-07 15:18:39.031987,2023-02-07 15:20:07.841036,0 days 00:01:28.809049,1692,61,0.00375,4e-07,PRUNED
100,100,0.4534505208333333,2023-02-07 15:18:39.350027,2023-02-07 15:21:12.191756,0 days 00:02:32.841729,1701,41,0.00375,4e-07,PRUNED
101,101,0.7672526041666666,2023-02-07 15:18:48.785405,2023-02-07 15:19:56.718121,0 days 00:01:07.932716,1526,41,0.00375,0.0,PRUNED
102,102,0.8616536458333334,2023-02-07 15:18:51.223612,2023-02-07 15:24:32.556059,0 days 00:05:41.332447,1621,41,0.00375,0.0,PRUNED
103,103,0.7633463541666666,2023-02-07 15:19:56.734490,2023-02-07 15:21:12.088279,0 days 00:01:15.353789,1698,41,0.00375,4e-06,PRUNED
104,104,0.8570963541666666,2023-02-07 15:20:07.857095,2023-02-07 15:26:06.381535,0 days 00:05:58.524440,1580,41,0.00375,4e-06,PRUNED
105,105,0.09505208333333333,2023-02-07 15:21:12.169704,2023-02-07 15:22:31.178026,0 days 00:01:19.008322,1127,51,0.15,0.0,PRUNED
106,106,0.08919270833333333,2023-02-07 15:21:12.212607,2023-02-07 15:22:35.874929,0 days 00:01:23.662322,1119,51,0.15,0.0,PRUNED
107,107,0.7880859375,2023-02-07 15:22:31.197789,2023-02-07 15:24:36.705111,0 days 00:02:05.507322,1194,31,0.00375,4e-08,PRUNED
108,108,0.7005208333333334,2023-02-07 15:22:35.887288,2023-02-07 15:24:24.432382,0 days 00:01:48.545094,1209,91,0.00375,4e-08,PRUNED
109,109,0.8899739583333334,2023-02-07 15:24:02.229687,2023-02-07 15:35:29.427802,0 days 00:11:27.198115,1202,41,0.00375,4e-07,COMPLETE
110,110,0.8512369791666666,2023-02-07 15:24:24.456508,2023-02-07 15:30:45.642862,0 days 00:06:21.186354,1041,41,0.00375,4e-07,PRUNED
111,111,0.7945963541666666,2023-02-07 15:24:32.571439,2023-02-07 15:30:54.518988,0 days 00:06:21.947549,1179,51,0.00375,4e-07,PRUNED
112,112,0.8961588541666666,2023-02-07 15:24:36.728087,2023-02-07 15:45:11.173714,0 days 00:20:34.445627,1042,51,0.00375,4e-07,COMPLETE
113,113,0.8590494791666666,2023-02-07 15:26:06.398785,2023-02-07 15:32:32.021442,0 days 00:06:25.622657,1061,51,0.00375,4e-07,PRUNED
114,114,0.7744140625,2023-02-07 15:30:45.668660,2023-02-07 15:32:09.903875,0 days 00:01:24.235215,1864,51,0.00375,4e-07,PRUNED
115,115,0.7470703125,2023-02-07 15:30:54.541987,2023-02-07 15:32:12.174515,0 days 00:01:17.632528,1413,51,0.00375,4e-07,PRUNED
116,116,0.533203125,2023-02-07 15:32:09.925349,2023-02-07 15:38:33.100058,0 days 00:06:23.174709,2650,51,0.00375,0.0,PRUNED
117,117,0.845703125,2023-02-07 15:32:12.193422,2023-02-07 15:38:17.712464,0 days 00:06:05.519042,1077,51,0.00375,0.0,PRUNED
118,118,0.8212890625,2023-02-07 15:32:32.050388,2023-02-07 15:37:37.934586,0 days 00:05:05.884198,2718,51,0.00375,4e-08,PRUNED
119,119,0.8896484375,2023-02-07 15:35:29.458993,2023-02-07 15:50:52.570053,0 days 00:15:23.111060,1362,51,0.00375,4e-08,COMPLETE
120,120,0.7744140625,2023-02-07 15:37:37.957315,2023-02-07 15:39:02.004291,0 days 00:01:24.046976,1310,61,0.00375,4e-08,PRUNED
121,121,0.2001953125,2023-02-07 15:38:17.734959,2023-02-07 15:39:28.705030,0 days 00:01:10.970071,1360,41,0.0125,4e-08,PRUNED
122,122,0.10970052083333333,2023-02-07 15:38:33.123400,2023-02-07 15:39:54.908220,0 days 00:01:21.784820,1520,61,0.0125,4e-08,PRUNED
123,123,0.10514322916666667,2023-02-07 15:39:02.027467,2023-02-07 15:40:46.233792,0 days 00:01:44.206325,1362,91,0.0125,4e-08,PRUNED
124,124,0.7666015625,2023-02-07 15:39:28.749343,2023-02-07 15:41:48.711493,0 days 00:02:19.962150,2895,41,0.00375,4e-08,PRUNED
125,125,0.5921223958333334,2023-02-07 15:39:54.924287,2023-02-07 15:41:41.143127,0 days 00:01:46.218840,1289,91,0.00375,4e-08,PRUNED
126,126,0.7376302083333334,2023-02-07 15:40:46.251858,2023-02-07 15:42:05.286914,0 days 00:01:19.035056,1144,41,0.00375,4e-06,PRUNED
127,127,0.8408203125,2023-02-07 15:41:41.176117,2023-02-07 15:46:50.613021,0 days 00:05:09.436904,1149,41,0.00375,4e-06,PRUNED
128,128,0.7731119791666666,2023-02-07 15:41:48.747433,2023-02-07 15:42:56.579039,0 days 00:01:07.831606,1132,21,0.00375,0.0,PRUNED
129,129,0.8981119791666666,2023-02-07 15:42:05.320608,2023-02-07 16:02:09.950269,0 days 00:20:04.629661,1016,31,0.00375,0.0,COMPLETE
130,130,0.8098958333333334,2023-02-07 15:42:55.634647,2023-02-07 15:47:46.748901,0 days 00:04:51.114254,2008,51,0.00375,4e-07,PRUNED
131,131,0.8424479166666666,2023-02-07 15:42:56.592030,2023-02-07 15:47:57.284152,0 days 00:05:00.692122,1001,51,0.00375,4e-07,PRUNED
132,132,0.8610026041666666,2023-02-07 15:45:11.206040,2023-02-07 15:51:25.866153,0 days 00:06:14.660113,1750,51,0.00375,4e-07,PRUNED
133,133,0.8430989583333334,2023-02-07 15:46:50.631369,2023-02-07 15:53:26.592997,0 days 00:06:35.961628,1028,51,0.00375,4e-07,PRUNED
134,134,0.841796875,2023-02-07 15:47:46.770775,2023-02-07 15:52:33.823612,0 days 00:04:47.052837,1020,51,0.00375,4e-07,PRUNED
135,135,0.8645833333333334,2023-02-07 15:47:57.305437,2023-02-07 15:54:17.487914,0 days 00:06:20.182477,1032,51,0.00375,4e-07,PRUNED
136,136,0.1015625,2023-02-07 15:50:52.606524,2023-02-07 15:52:12.637507,0 days 00:01:20.030983,1089,61,0.075,4e-07,PRUNED
137,137,0.09993489583333333,2023-02-07 15:51:25.901025,2023-02-07 15:52:48.031872,0 days 00:01:22.130847,1835,61,0.075,4e-07,PRUNED
138,138,0.8209635416666666,2023-02-07 15:52:12.655826,2023-02-07 15:57:04.775856,0 days 00:04:52.120030,1923,51,0.00375,4e-07,PRUNED
139,139,0.8902994791666666,2023-02-07 15:52:33.845323,2023-02-07 16:04:29.549957,0 days 00:11:55.704634,1434,51,0.00375,4e-05,COMPLETE
140,140,0.8483072916666666,2023-02-07 15:52:48.053852,2023-02-07 15:58:58.511333,0 days 00:06:10.457481,1957,51,0.00375,4e-05,PRUNED
141,141,0.775390625,2023-02-07 15:53:26.611900,2023-02-07 15:54:56.095897,0 days 00:01:29.483997,1107,51,0.00375,4e-05,PRUNED
142,142,0.9007161458333334,2023-02-07 15:54:17.508169,2023-02-07 16:14:54.528485,0 days 00:20:37.020316,1238,51,0.00375,4e-05,COMPLETE
143,143,0.6966145833333334,2023-02-07 15:54:56.112513,2023-02-07 15:56:41.888862,0 days 00:01:45.776349,1927,101,0.00375,0.0,PRUNED
144,144,0.7112630208333334,2023-02-07 15:56:41.911153,2023-02-07 15:57:59.969625,0 days 00:01:18.058472,1614,41,0.00375,0.0,PRUNED
145,145,0.7063802083333334,2023-02-07 15:57:04.794150,2023-02-07 15:58:19.767772,0 days 00:01:14.973622,1245,41,0.00375,0.0,PRUNED
146,146,0.13444010416666666,2023-02-07 15:57:59.989052,2023-02-07 15:59:12.378190,0 days 00:01:12.389138,1244,31,0.115,0.0,PRUNED
147,147,0.09505208333333333,2023-02-07 15:58:19.783110,2023-02-07 15:59:27.997601,0 days 00:01:08.214491,1414,31,0.115,4e-08,PRUNED
148,148,0.2835286458333333,2023-02-07 15:58:58.534631,2023-02-07 16:00:07.906603,0 days 00:01:09.371972,1226,21,0.115,0.0,PRUNED
149,149,0.78515625,2023-02-07 15:59:12.394661,2023-02-07 16:02:24.451177,0 days 00:03:12.056516,1434,21,0.00375,0.0,PRUNED
150,150,0.7779947916666666,2023-02-07 15:59:28.018851,2023-02-07 16:01:59.849553,0 days 00:02:31.830702,1305,51,0.00375,0.0,PRUNED
151,151,0.7874348958333334,2023-02-07 16:00:07.928999,2023-02-07 16:01:23.807264,0 days 00:01:15.878265,1169,31,0.00375,0.0,PRUNED
152,152,0.7757161458333334,2023-02-07 16:01:23.831537,2023-02-07 16:05:12.449637,0 days 00:03:48.618100,1434,51,0.00375,0.0,PRUNED
153,153,0.9052734375,2023-02-07 16:01:59.878827,2023-02-07 16:24:42.615014,0 days 00:22:42.736187,1454,51,0.00375,0.0,COMPLETE
154,154,0.8313802083333334,2023-02-07 16:02:09.984893,2023-02-07 16:06:13.275765,0 days 00:04:03.290872,1108,21,0.00375,4e-06,PRUNED
155,155,0.7666015625,2023-02-07 16:02:24.466645,2023-02-07 16:03:56.940918,0 days 00:01:32.474273,1091,61,0.00375,4e-06,PRUNED
156,156,0.7828776041666666,2023-02-07 16:03:56.959892,2023-02-07 16:05:17.289299,0 days 00:01:20.329407,1060,41,0.00375,4e-08,PRUNED
157,157,0.8916015625,2023-02-07 16:04:29.581316,2023-02-07 16:18:05.228552,0 days 00:13:35.647236,1052,41,0.00375,4e-08,COMPLETE
158,158,0.8623046875,2023-02-07 16:05:12.467030,2023-02-07 16:10:38.006804,0 days 00:05:25.539774,1059,31,0.00375,0.0,PRUNED
159,159,0.8330078125,2023-02-07 16:05:17.304347,2023-02-07 16:10:00.325482,0 days 00:04:43.021135,1289,31,0.00375,0.0,PRUNED
160,160,0.7425130208333334,2023-02-07 16:06:13.292973,2023-02-07 16:07:31.597098,0 days 00:01:18.304125,1186,31,0.00375,0.0,PRUNED
161,161,0.1240234375,2023-02-07 16:07:31.612998,2023-02-07 16:08:50.041034,0 days 00:01:18.428036,1554,31,0.15,0.0,PRUNED
162,162,0.8714192708333334,2023-02-07 16:08:50.067707,2023-02-07 16:16:30.143181,0 days 00:07:40.075474,1004,31,0.00375,0.0,PRUNED
163,163,0.8095703125,2023-02-07 16:10:00.344027,2023-02-07 16:14:42.932512,0 days 00:04:42.588485,1007,31,0.00375,4e-07,PRUNED
164,164,0.7760416666666666,2023-02-07 16:10:38.022741,2023-02-07 16:13:12.013037,0 days 00:02:33.990296,1493,41,0.00375,4e-07,PRUNED
165,165,0.6497395833333334,2023-02-07 16:13:12.029523,2023-02-07 16:14:52.534390,0 days 00:01:40.504867,1014,81,0.00375,4e-08,PRUNED
166,166,0.7522786458333334,2023-02-07 16:14:42.953710,2023-02-07 16:16:38.333222,0 days 00:01:55.379512,1333,101,0.00375,4e-05,PRUNED
